200 15
inst ; m; l; mh; mhtime
0 ;200 ;15 ;23608 ;0.009879
1 ;200 ;15 ;23734 ;0.009794
2 ;200 ;15 ;23285 ;0.082276
3 ;200 ;15 ;23345 ;0.019832
4 ;200 ;15 ;23320 ;0.010002
5 ;200 ;15 ;23909 ;0.021211
6 ;200 ;15 ;23469 ;0.009806
7 ;200 ;15 ;23570 ;0.009661
8 ;200 ;15 ;23457 ;0.010040
9 ;200 ;15 ;23547 ;0.009738
10 ;200 ;15 ;23818 ;0.019691
11 ;200 ;15 ;23391 ;0.030722
12 ;200 ;15 ;23442 ;0.010009
13 ;200 ;15 ;23203 ;0.009912
14 ;200 ;15 ;22976 ;0.009624
15 ;200 ;15 ;23371 ;0.018498
16 ;200 ;15 ;23097 ;0.010065
17 ;200 ;15 ;22918 ;0.009969
18 ;200 ;15 ;23360 ;0.009941
19 ;200 ;15 ;23560 ;0.010258
20 ;200 ;15 ;23769 ;0.010386
21 ;200 ;15 ;23691 ;0.029531
22 ;200 ;15 ;23453 ;0.010209
23 ;200 ;15 ;23701 ;0.020460
24 ;200 ;15 ;23562 ;0.050096
25 ;200 ;15 ;23392 ;0.009898
26 ;200 ;15 ;23754 ;0.009968
27 ;200 ;15 ;22822 ;0.009881
28 ;200 ;15 ;23149 ;0.020513
29 ;200 ;15 ;23901 ;0.010338
30 ;200 ;15 ;23756 ;0.009774
31 ;200 ;15 ;23889 ;0.009917
32 ;200 ;15 ;23243 ;0.020439
33 ;200 ;15 ;24051 ;0.009631
34 ;200 ;15 ;23766 ;0.009647
35 ;200 ;15 ;23059 ;0.009866
36 ;200 ;15 ;23851 ;0.009815
37 ;200 ;15 ;23754 ;0.040346
38 ;200 ;15 ;23628 ;0.010031
39 ;200 ;15 ;23549 ;0.030772
40 ;200 ;15 ;23216 ;0.010165
41 ;200 ;15 ;23832 ;0.010262
42 ;200 ;15 ;23487 ;0.009836
43 ;200 ;15 ;23580 ;0.010786
44 ;200 ;15 ;23294 ;0.046259
45 ;200 ;15 ;23157 ;0.013150
46 ;200 ;15 ;23335 ;0.010915
47 ;200 ;15 ;23221 ;0.021992
48 ;200 ;15 ;23444 ;0.010305
49 ;200 ;15 ;23554 ;0.025441
50 ;200 ;15 ;23339 ;0.012619
51 ;200 ;15 ;23554 ;0.036370
52 ;200 ;15 ;24131 ;0.012677
53 ;200 ;15 ;23604 ;0.012834
54 ;200 ;15 ;23242 ;0.010187
55 ;200 ;15 ;23550 ;0.010737
56 ;200 ;15 ;23542 ;0.031812
57 ;200 ;15 ;23949 ;0.010515
58 ;200 ;15 ;23495 ;0.010164
59 ;200 ;15 ;23518 ;0.022573
60 ;200 ;15 ;23388 ;0.010489
61 ;200 ;15 ;23540 ;0.023897
62 ;200 ;15 ;23246 ;0.046252
63 ;200 ;15 ;23539 ;0.010112
64 ;200 ;15 ;23635 ;0.010598
65 ;200 ;15 ;23772 ;0.010099
66 ;200 ;15 ;23986 ;0.032780
67 ;200 ;15 ;23436 ;0.010478
68 ;200 ;15 ;23622 ;0.038619
69 ;200 ;15 ;23303 ;0.010366
70 ;200 ;15 ;23601 ;0.067029
71 ;200 ;15 ;23630 ;0.020025
72 ;200 ;15 ;23421 ;0.010083
73 ;200 ;15 ;23330 ;0.010388
74 ;200 ;15 ;23342 ;0.009949
75 ;200 ;15 ;23475 ;0.011738
76 ;200 ;15 ;23549 ;0.009978
77 ;200 ;15 ;23277 ;0.020780
78 ;200 ;15 ;23679 ;0.010388
79 ;200 ;15 ;23317 ;0.010469
80 ;200 ;15 ;22919 ;0.011130
81 ;200 ;15 ;23448 ;0.035132
82 ;200 ;15 ;23778 ;0.012531
83 ;200 ;15 ;23790 ;0.010251
84 ;200 ;15 ;23436 ;0.010553
85 ;200 ;15 ;23267 ;0.047249
86 ;200 ;15 ;23554 ;0.021466
87 ;200 ;15 ;23222 ;0.010643
88 ;200 ;15 ;23026 ;0.009999
89 ;200 ;15 ;23909 ;0.009960
90 ;200 ;15 ;23429 ;0.010217
91 ;200 ;15 ;23936 ;0.010143
92 ;200 ;15 ;23224 ;0.021107
93 ;200 ;15 ;23498 ;0.027275
94 ;200 ;15 ;23506 ;0.010069
95 ;200 ;15 ;23544 ;0.010259
96 ;200 ;15 ;23391 ;0.009913
97 ;200 ;15 ;23743 ;0.030805
98 ;200 ;15 ;23274 ;0.019998
99 ;200 ;15 ;23483 ;0.009982
